,carrier,Industry Steel Primary Blast Furnace Route,Industry Steel Primary DRI,Industry Steel Secondary EAF,Industry Steel Other,Industry Chemical Ammonia Fossil Haber Bosch,Industry Chemical Ammonia Renewable,Industry Chemical HVC Steam Cracking,Industry Chemical HVC Methanol,Industry Chemical Other,Industry NMM Cement,Industry NMM Other,Industry Food and tobacco,Industry Construction,Industry Mining,Industry Machinery,Industry Non ferrous metals Aluminium Primary,Industry Non ferrous metals Aluminium Secondary,Industry Non ferrous metals Other,Industry Paper and pulp,Industry Transport equipment,Industry Textiles and leather,Industry Wood,Industry Miscellaneous,Unnamed: 25,Unnamed: 26
0,Coal,31.474180414769194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.844932810789808,0.0,0,0.0,0.0,0.0,0.0,6.166760163612924,0.0,0,0.0,0,0.0,,
1,Oil,0.0,0.0,0.0,0.0,0.0,0.0,59.6633789995154,0.0,4.731518071794137,7.687112115718471,8.44932810789807,0.0,0,6.377238858057012,0.0,0.0,0.0,7.708450204516154,0.0,0,0.0,0,52.19831443837642,,
2,Natural Gas,13.48893446347251,0.0,0.0,9.683119635507797,5.008876400984157,0.0,4.361258918153011,0.0,20.277934593403444,14.782907914843216,8.44932810789807,0.0,0,1.594309714514253,0.0,1.3265153184059815,0.7942371129111442,10.277933606021541,0.0,0,1.3332045244961788,0,10.721935210891752,,
3,Biofuels,35.970491902593366,0.0,0.0,14.524679453261696,0.0,0.0,28.488970951004863,0.0,0.0,14.782907914843216,10.56166013487259,150.3407460716918,0,0.0,0.0,0.0,0.0,0.0,124.86618669205117,0,0.3333011311240447,0,33.03569257751289,,
4,Electricity,8.992622975648342,4.794047040889967,10.536810759345531,14.524679453261696,0.0426166092412413,0.3988797620249992,5.815011890870682,8.482562126038,42.58366264614723,11.826326331874574,15.631256999611432,100.22716404779455,0,23.59578377481094,0.0,16.676192574246624,1.3615493364191043,27.23652405595708,83.24412446136746,0,9.4435320485146,0,77.00298924185896,,
5,Heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,
6,Hydrogen,0.0,19.176188163559868,1.1707567510383925,0.0,0.0,1.4624539949113031,0.0,30.78531464448632,0.0,10.052377382093388,0.0,0.0,0,0.3188619429028506,0.0,0.9475109417185581,0.11346244470159204,0.0,0.0,0,0.0,0,4.015254956798186,,
7,process emission,12.88849973996756,0.22757471547746336,0.9102988619098534,0.0,0.0,0.0,0.0,-6.343410721685767,0.0,28.942853060944632,0.0,0.0,0,0.0,0.0,1.313681237915815,0.0,0.0,0.0,0,0.0,0,0.0,,
