,carrier,Industry Steel Primary Blast Furnace Route,Industry Steel Primary DRI,Industry Steel Secondary EAF,Industry Steel Other,Industry Chemical Ammonia Fossil Haber Bosch,Industry Chemical Ammonia Renewable,Industry Chemical HVC Steam Cracking,Industry Chemical HVC Methanol,Industry Chemical Other,Industry NMM Cement,Industry NMM Other,Industry Food and tobacco,Industry Construction,Industry Mining,Industry Machinery,Industry Non ferrous metals Aluminium Primary,Industry Non ferrous metals Aluminium Secondary,Industry Non ferrous metals Other,Industry Paper and pulp,Industry Transport equipment,Industry Textiles and leather,Industry Wood,Industry Miscellaneous,Unnamed: 25,Unnamed: 26
0,Coal,64.3111421870019,0.0,0.0,2.8680176810149134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.756553223540061,0.0,0,0.0,0,0.0,,
1,Oil,0.0,0.0,0.0,0.7170044202537287,0.0,0.0,77.99405445176392,0.0,10.279883949087644,14.524545156746697,10.784015263163022,0.0,0,7.774192773734134,0.0,0.7665801062848272,0.2897885003862192,9.513106447080125,0.0,0,0.0,0,68.72681469785861,,
2,Natural Gas,12.862228437400383,3.630159541155782,0.39779885930074166,8.962555253171608,4.788995830737148,0.0,3.7097239548929113,0.0,23.129738885447196,14.524545156746697,9.98519931774354,0.0,0,2.990074143743898,0.0,1.916450265712068,0.724471250965548,9.513106447080125,0.0,0,1.7856198469513576,0,11.979767679527672,,
3,Biofuels,38.58668531220115,0.0,0.0,14.340088405074573,0.0,0.0,12.094619816700256,0.0,0.3212463734089889,15.686508769286435,9.98519931774354,168.8576201377141,0,0.0,0.0,0.0,0.0,0.0,142.3169500370719,0,0.4201458463414959,0,20.665065147363645,,
4,Electricity,12.862228437400383,3.630159541155782,7.16037946741335,8.962555253171608,0.04144466829879612,0.22628125132805452,4.451668745871493,4.943768912157833,30.51840547385394,11.03865431912749,9.186383372324057,72.36755148759174,0,19.136474519960945,0.0,16.289827258552577,1.0349589299507829,23.78276611770031,60.992978587316536,0,8.297880465244543,0,66.34948253276865,,
5,Heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,
6,Hydrogen,0.0,10.890478623467343,0.39779885930074166,0.0,0.0,0.8091036988090234,0.0,17.876675809133847,0.0,2.3239272250794714,0.0,0.0,0,0.0,0.0,0.1916450265712068,0.02069917859901566,0.0,0.0,0,0.0,0,0.7633239493356444,,
7,process emission,17.978257802848937,0.16805940946575612,0.6032901878257912,0.0,0.0,0.0,0.0,-3.6835451677304887,0.0,27.73316356182719,0.0,0.0,0,0.0,0.0,1.295653059223707,0.0,0.0,0.0,0,0.0,0,0.0,,
