,carrier,Industry Steel Primary Blast Furnace Route,Industry Steel Primary DRI,Industry Steel Secondary EAF,Industry Steel Other,Industry Chemical Ammonia Fossil Haber Bosch,Industry Chemical Ammonia Renewable,Industry Chemical HVC Steam Cracking,Industry Chemical HVC Methanol,Industry Chemical Other,Industry NMM Cement,Industry NMM Other,Industry Food and tobacco,Industry Construction,Industry Mining,Industry Machinery,Industry Non ferrous metals Aluminium Primary,Industry Non ferrous metals Aluminium Secondary,Industry Non ferrous metals Other,Industry Paper and pulp,Industry Transport equipment,Industry Textiles and leather,Industry Wood,Industry Miscellaneous,Unnamed: 25,Unnamed: 26
0,Coal,43.24307921613671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,
1,Oil,0.0,0.0,0.0,0.0,0.0,0.0,61.11713197223307,0.0,4.731518071794137,7.687112115718471,8.44932810789807,0.0,0,6.377238858057012,0.0,0.0,0.0,7.061587250291025,0.0,0,0.0,0,52.19831443837642,,
2,Natural Gas,18.532748235487166,0.0,0.0,8.870550155605045,5.008876400984157,0.0,6.541888377229518,0.0,23.657590358970683,14.782907914843216,8.44932810789807,0.0,0,1.594309714514253,0.0,1.277723635860519,0.7650236055047224,9.4154496670547,0.0,0,1.4241048329845547,0,10.721935210891752,,
3,Biofuels,49.420661961299096,0.0,0.0,15.966990280089082,0.0,0.0,28.488970951004863,0.0,3.379655765567241,26.609234246717786,12.673992161847107,174.02246928420425,0,2.232033600319954,0.0,0.0,0.0,4.70772483352735,153.37729932006957,0,0.9494032219897032,0,37.90929949155459,,
4,Electricity,12.355165490324774,6.586648269252825,6.204325527608978,10.644660186726055,0.0426166092412413,0.3988797620249992,2.1806294590765054,8.482562126038,33.7965576556724,8.869744748905928,12.673992161847107,85.71255949819013,0,21.36375017449099,0.0,16.062811422246526,1.3114690380080956,25.892486584400423,75.54404294869099,0,9.494032219897031,0,72.12938232781724,,
5,Heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,
6,Hydrogen,0.0,26.3465930770113,0.6893695030676642,0.0,0.0,1.4624539949113031,0.0,30.78531464448632,2.0277934593403444,1.182632633187457,0.0,0.0,0,0.3188619429028506,0.0,0.9126597399003709,0.10928908650067465,0.0,0.0,0,0.0,0,4.015254956798186,,
7,process emission,17.70779756257115,0.31266998280164393,0.5360056848028181,0.0,0.0,0.0,0.0,-6.343410721685767,0.0,28.942853060944632,0.0,0.0,0,0.0,0.0,1.2653616165462398,0.0,0.0,0.0,0,0.0,0,0.0,,
