,carrier,Industry Steel Primary Blast Furnace Route,Industry Steel Primary DRI,Industry Steel Secondary EAF,Industry Steel Other,Industry Chemical Ammonia Fossil Haber Bosch,Industry Chemical Ammonia Renewable,Industry Chemical HVC Steam Cracking,Industry Chemical HVC Methanol,Industry Chemical Other,Industry NMM Cement,Industry NMM Other,Industry Food and tobacco,Industry Construction,Industry Mining,Industry Machinery,Industry Non ferrous metals Aluminium Primary,Industry Non ferrous metals Aluminium Secondary,Industry Non ferrous metals Other,Industry Paper and pulp,Industry Transport equipment,Industry Textiles and leather,Industry Wood,Industry Miscellaneous,Unnamed: 25,Unnamed: 26
0,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,
1,Oil,0.0,0.0,0.0,0.0,0.0,0.0,7.8886185458977405,0.0,0.0,0.0,0.0,0.0,0,1.8416948287535013,0.0,0.0,0.0,0.0,0.0,0,0.0,0,22.94074243087445,,
2,Natural Gas,0.0,0.0,0.0,4.06750017300225,2.557025450546881,0.0,11.06479723768759,0.0,15.447449939213367,6.316414964636724,0.0,0.0,0,0.0,0.0,0.0,0.0,5.396697848193775,0.0,0,0.2800135616496082,0,0.0,,
3,Biofuels,66.75711702214794,0.0,0.0,14.23625060550787,0.0,0.0,70.99756691307967,0.0,5.792793727205012,42.31998026306605,17.080681718810506,118.60304850575562,0,5.5250844862605035,0.0,0.0,0.0,8.09504677229066,102.57163771809006,0,1.120054246598433,0,67.35913085757662,,
4,Electricity,7.417457446905327,11.862936994208853,8.691162261020382,20.337500865011247,0.021019636612581345,1.3771661939813065,1.9526112772389863,18.502547583507468,50.20421230244344,9.474622446955085,29.28116866081801,177.90457275863344,0,26.888744499801117,0.0,15.556600970797605,2.3064108282034863,37.776884937356414,153.85745657713508,0,12.600610274232373,0,92.89223630309044,,
5,Heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,
6,Hydrogen,0.0,47.451747976835414,0.9656846956689316,2.033750086501125,0.0,5.308792575411309,0.0,67.62752489059844,5.792793727205012,5.053131971709379,2.4400973884015005,0.0,0,2.578372760254902,0.0,1.7285112189775116,0.2562678698003874,2.6983489240968876,0.0,0,0.0,0,16.579361710133472,,
7,process emission,11.17738570281068,0.5920837387793771,0.7894449850391695,0.0,0.0,0.0,0.0,-13.934863795485862,0.0,32.505834745093864,0.0,0.0,0,0.0,0.0,1.2598451344614,0.0,0.0,0.0,0,0.0,0,0.0,,
