,carrier,Industry Steel Primary Blast Furnace Route,Industry Steel Primary DRI,Industry Steel Secondary EAF,Industry Steel Other,Industry Chemical Ammonia Fossil Haber Bosch,Industry Chemical Ammonia Renewable,Industry Chemical HVC Steam Cracking,Industry Chemical HVC Methanol,Industry Chemical Other,Industry NMM Cement,Industry NMM Other,Industry Food and tobacco,Industry Construction,Industry Mining,Industry Machinery,Industry Non ferrous metals Aluminium Primary,Industry Non ferrous metals Aluminium Secondary,Industry Non ferrous metals Other,Industry Paper and pulp,Industry Transport equipment,Industry Textiles and leather,Industry Wood,Industry Miscellaneous,Unnamed: 25,Unnamed: 26
0,Coal,110.65515914900189,0.0,0.0,3.583366616566829,0.0,0.0,0.0,0.0,0.0,1.1751027750458247,0.0,0.0,0,1.4690817196631978,0.0,0.0,0.0,10.373142003098371,0.0,0,0.0,0,0.0,,
1,Oil,0.0,0.0,0.0,1.6288030075303772,0.0,0.0,97.7143071189838,0.0,13.695579009081365,17.62654162568745,13.868667198891362,0.0,0,8.81449031797918,0.0,0.9487158456882807,0.46284223097304084,10.80535625322747,0.0,0,0.20705739284348118,0,79.43740571298666,,
2,Natural Gas,8.511935319153991,2.8659714879306377,0.43743775342099206,6.840972631627584,4.507844696272666,0.0,1.6400829596370567,0.0,24.901052743784305,11.751027750458302,9.906190856350973,11.971964750851608,0,3.525796127191672,0.0,1.8974316913765614,0.647979123362257,6.483213751936482,10.4289758934011,0,2.1741026248565523,0,13.321622663066977,,
3,Biofuels,34.047741276615966,0.0,0.0,14.984987669279471,0.0,0.0,4.4954571011424145,0.0,1.867578955783823,19.3891957882562,11.094933759113092,184.36825716311475,0,0.881449031797918,0.0,0.0,0.0,0.43221425012909886,160.60622875837697,0,0.8282295713739247,0,12.285008817791605,,
4,Electricity,17.023870638307983,1.4329857439653189,3.9369397807889284,5.537930225603283,0.0396751903709299,0.09627563788141204,2.4601244394555852,0.2161149611580278,21.788421150811264,8.813270812843726,4.754971611048467,43.099073103065784,0,14.690817196631967,0.0,16.12816937670077,0.7405475695568654,15.12749875451846,37.54431321624396,0,7.143480053100099,0,57.72703153995691,,
5,Heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,
6,Hydrogen,0.0,2.8659714879306377,0.0,0.0,0.0,0.33572789180257945,0.0,0.7785584011615116,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,
7,process emission,23.20625710209962,0.06469852721243605,0.3234926360621802,0.0,0.0,0.0,0.0,-0.16042440255750287,0.0,27.352570146956396,0.0,0.0,0,0.0,0.0,1.2510444059301031,0.0,0.0,0.0,0,0.0,0,0.0,,
