country,x,y,technology,capacity,unit,quality,company,location,start year,Latest renovation year,Source,Comments
BR,-49.338988,-27.356695,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,Vidal Ramos,,,,
BR,-48.714074,-26.879854,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,Itajaí,,,,
BR,-49.321604,-25.195411,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,Rio Branco do Sul,,,,
BR,-47.497432,-23.62812,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,Salto de Pirapora,,,,
BR,-47.437717,-23.589965,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,Votorantim,,,,
BR,-43.722339,-22.902045,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,Sepetiba,,,,
BR,-42.260932,-21.912212,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,Cantagalo,,,,
BR,-46.763616,-20.761205,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,Itaú de Minas,,,,
BR,-49.780404,-17.258104,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,Edealina,,,,
BR,-47.87434,-15.586255,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,Sobradinho,,,,
BR,-57.621769,-19.00454,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,Corumbá,,,,
BR,-56.137673,-15.332531,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,Cuiabá,,,,
BR,-56.264931,-14.641005,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,Nobres,,,,
BR,-63.768042,-8.799495,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,Porto Velho,,,,
BR,-48.430112,-6.429364,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,Xambioá,,,,
BR,-37.164762,-10.826174,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,Laranjeiras,,,,
BR,-34.82109,-7.917524,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,Paulista,,,,
BR,-38.8579,-3.644593,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,Pecém,,,,
BR,-40.372718,-3.689152,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,Sobral,,,,
BR,-44.311229,-2.629999,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,São Luis,,,,
BR,-47.116538,-0.976991,Industry NMM Cement,0,Mt/yr,estimated,Votorantim Cimentos,Primavera,,,,
BR,-53.671143,-31.584725,Industry NMM Cement,16.5,Mt/yr,estimated,InterCement do Brasil S.A.,Candiota,,,https://datis-inc.com/blog/worldwide-cement-production-from-2015-to-2019/#Brazil- Global Cement Top 100 Report 2017 - 2018,
BR,-51.282611,-29.924759,Industry NMM Cement,0,Mt/yr,estimated,InterCement do Brasil S.A.,Nova Santa Rita,,,,
BR,-56.731745,-20.475007,Industry NMM Cement,0,Mt/yr,estimated,InterCement do Brasil S.A.,Bodoquena,,,,
BR,-48.853573,-24.517516,Industry NMM Cement,0,Mt/yr,estimated,InterCement do Brasil S.A.,Apiaí,,,,
BR,-48.114659,-24.709271,Industry NMM Cement,0,Mt/yr,estimated,InterCement do Brasil S.A.,Cajati,,,,
BR,-46.071319,-23.26814,Industry NMM Cement,0,Mt/yr,estimated,InterCement do Brasil S.A.,Parateí do Meio,,,,
