,carrier,Industry Steel Primary Blast Furnace Route,Industry Steel Primary DRI,Industry Steel Secondary EAF,Industry Steel Other,Industry Chemical Ammonia Fossil Haber Bosch,Industry Chemical Ammonia Renewable,Industry Chemical HVC Steam Cracking,Industry Chemical HVC Methanol,Industry Chemical Other,Industry NMM Cement,Industry NMM Other,Industry Food and tobacco,Industry Construction,Industry Mining,Industry Machinery,Industry Non ferrous metals Aluminium Primary,Industry Non ferrous metals Aluminium Secondary,Industry Non ferrous metals Other,Industry Paper and pulp,Industry Transport equipment,Industry Textiles and leather,Industry Wood,Industry Miscellaneous,Unnamed: 25,Unnamed: 26
0,Coal,8.429444577738547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,
1,Oil,0.0,0.0,0.0,0.0,0.0,0.0,28.111819004396878,0.0,0.0,0.0,3.6465872082616455,0.0,0,4.816539890153311,0.0,0.0,0.0,0.0,0.0,0,0.0,0,44.02543801150926,,
2,Natural Gas,5.619629718492364,0.0,0.0,7.057661490610907,2.2397161449887952,0.0,7.126565445801248,0.0,18.157627656021962,12.224570770407981,8.204821218588702,0.0,0,0.0,0.0,0.44505409789395745,0.3552952882346718,10.701712869517493,0.0,0,0.8200376447776747,0,7.361782311400135,,
3,Biofuels,36.52759317020037,0.0,0.0,13.10708562542026,0.0,0.0,38.87854445468705,0.0,0.0,14.058256385969177,11.395585025817642,106.16268838911623,0,0.0,0.0,0.0,0.0,0.0,83.8291001300674,0,0.5857411748411961,0,23.72446327688154,,
4,Electricity,5.619629718492364,16.691300390423443,7.597634584441891,16.131797692824932,0.01873210964825188,1.2272918235933044,1.6445920259541338,18.640633053198744,46.69104254405647,11.613342231887582,18.23293604130823,132.70336048639527,0,24.42673801434893,0.0,16.021947524182465,1.7764764411733593,34.78056682593186,104.78637516258422,0,9.957599972300333,0,82.03128861274436,,
5,Heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,
6,Hydrogen,0.0,66.76520156169377,0.8441816204935435,4.032949423206233,0.0,4.613947496805156,0.0,67.89400989009401,9.26409574286835,23.226684463775165,4.102410609294351,26.540672097279057,0,5.16057845373569,0.0,1.3351622936818721,0.23686352548978123,8.02628465213812,20.95727503251685,0,0.35144470490471763,0,27.27113494246901,,
7,process emission,8.258635113129007,0.8124497075115836,0.6730352606604835,0.0,0.0,0.0,0.0,-13.989773866163716,0.0,30.67677468369717,0.0,0.0,0,0.0,0.0,1.2654155286733213,0.0,0.0,0.0,0,0.0,0,0.0,,
