,carrier,Industry Steel Primary Blast Furnace Route,Industry Steel Primary DRI,Industry Steel Secondary EAF,Industry Steel Other,Industry Chemical Ammonia Fossil Haber Bosch,Industry Chemical Ammonia Renewable,Industry Chemical HVC Steam Cracking,Industry Chemical HVC Methanol,Industry Chemical Other,Industry NMM Cement,Industry NMM Other,Industry Food and tobacco,Industry Construction,Industry Mining,Industry Machinery,Industry Non ferrous metals Aluminium Primary,Industry Non ferrous metals Aluminium Secondary,Industry Non ferrous metals Other,Industry Paper and pulp,Industry Transport equipment,Industry Textiles and leather,Industry Wood,Industry Miscellaneous,Unnamed: 25,Unnamed: 26
0,Coal,73.18417548379266,0.0,0.0,2.7041309563854936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.484750182194915,0.0,0,0.0,0,0.0,,
1,Oil,0.0,0.0,0.0,0.6760327390963727,0.0,0.0,80.21988882469967,0.0,10.279883949087644,14.524545156746697,10.784015263163022,0.0,0,7.774192773734134,0.0,0.7457017943788858,0.2818959205394231,8.969500364389832,0.0,0,0.0,0,68.72681469785861,,
2,Natural Gas,14.63683509675853,4.131014064741712,0.28023253304680623,8.450409238704658,4.788995830737148,0.0,3.7097239548929113,0.0,24.73597075249214,14.524545156746697,9.98519931774354,0.0,0,2.990074143743898,0.0,1.8642544859472148,0.7047398013485575,8.969500364389832,0.0,0,1.8667843854491466,0,11.979767679527672,,
3,Biofuels,43.910505290275594,0.0,0.0,15.210736629668387,0.0,0.0,12.094619816700256,0.0,3.212463734089889,20.334363219445375,11.183423235872764,185.25226503560165,0,1.495037071871949,0.0,0.0,0.0,2.242375091097458,162.32002365979403,0,0.8784867696231279,0,23.429626919562338,,
4,Electricity,14.63683509675853,4.131014064741712,5.044185594842513,6.760327390963728,0.04144466829879612,0.22628125132805452,2.2258343729357466,4.943768912157833,25.69970987271911,8.714727094048017,7.9881594541948315,61.75075501186721,0,17.641437448088997,0.0,15.846163130551323,1.0067711447836538,20.181375819877122,54.10667455326468,0,8.235813465216824,0,63.58492076056994,,
5,Heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,
6,Hydrogen,0.0,12.393042194225137,0.28023253304680623,0.0,0.0,0.8091036988090234,0.0,17.876675809133847,0.3212463734089889,0.0,0.0,0.0,0,0.0,0.0,0.18642544859472146,0.020135422895673074,0.0,0.0,0,0.0,0,0.7633239493356444,,
7,process emission,20.4587250232742,0.19124663154451488,0.4249925145433664,0.0,0.0,0.0,0.0,-3.6835451677304887,0.0,27.73316356182719,0.0,0.0,0,0.0,0.0,1.260365098486687,0.0,0.0,0.0,0,0.0,0,0.0,,
