,carrier,Industry Steel Primary Blast Furnace Route,Industry Steel Primary DRI,Industry Steel Secondary EAF,Industry Steel Other,Industry Chemical Ammonia Fossil Haber Bosch,Industry Chemical Ammonia Renewable,Industry Chemical HVC Steam Cracking,Industry Chemical HVC Methanol,Industry Chemical Other,Industry NMM Cement,Industry NMM Other,Industry Food and tobacco,Industry Construction,Industry Mining,Industry Machinery,Industry Non ferrous metals Aluminium Primary,Industry Non ferrous metals Aluminium Secondary,Industry Non ferrous metals Other,Industry Paper and pulp,Industry Transport equipment,Industry Textiles and leather,Industry Wood,Industry Miscellaneous,Unnamed: 25,Unnamed: 26
0,Coal,105.76905096226659,0.0,0.0,3.6376600501511756,0.0,0.0,0.0,0.0,1.1891251390480964,1.1751027750458247,0.0,0.0,0,0.0,0.0,0.0,0.0,10.530310821327136,0.0,0,0.0,0,0.0,,
1,Oil,0.0,0.0,0.0,1.6534818409778074,0.0,0.0,90.4033815315749,0.0,13.768817399504261,17.62654162568745,13.868667198891362,0.0,0,0.0,0.0,0.9487158456882807,0.46284223097304084,10.969073772215767,0.0,0,0.20245611744695932,0,79.8289599828809,,
2,Natural Gas,8.136080843251277,5.7832224475037135,0.4413511867831781,6.94462373210679,4.07699609049776,0.0,1.5173729407195264,0.0,25.034213453644114,11.751027750458302,9.906190856350973,11.832755858399848,0,0.0,0.0,1.8974316913765614,0.647979123362257,6.58144426332946,10.112946320873794,0,2.125789233193073,0,13.321622663066977,,
3,Biofuels,32.544323373005106,0.0,0.0,14.219943832409143,0.0,0.0,4.15910970927255,0.0,0.6258553363411029,17.62654162568745,9.906190856350973,182.22444021935763,0,0.0,0.0,0.0,0.0,0.0,155.73937334145643,0,0.8098244697878373,0,11.545406307991382,,
4,Electricity,16.272161686502553,2.8916112237518568,3.9721606810486025,5.621838259324545,0.03588313416515524,0.1959161656675547,2.2760594110792893,2.1993990696681154,21.904936771938594,9.400822200366642,5.547466879556546,42.59792109023944,0,0.0,0.0,16.12816937670077,0.7405475695568654,15.356703281102071,36.40660675514566,0,6.9847360519200965,0,57.72703153995691,,
5,Heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,
6,Hydrogen,0.0,5.7832224475037135,0.0,0.9920891045866843,0.0,0.6831896699623129,0.0,7.923378437205048,0.06258553363411028,1.1751027750458303,0.39624763425403897,0.0,0,0.0,0.0,0.0,0.0,0.43876295088863065,0.0,0,0.0,0,0.7435576034355182,,
7,process emission,22.18155763320842,0.13055467455663872,0.32638668639159674,0.0,0.0,0.0,0.0,-1.6326369995228278,0.0,27.352570146956396,0.0,0.0,0,0.0,0.0,1.2510444059301031,0.0,0.0,0.0,0,0.0,0,0.0,,
