,carrier,Industry Steel Primary Blast Furnace Route,Industry Steel Primary DRI,Industry Steel Secondary EAF,Industry Steel Other,Industry Chemical Ammonia Fossil Haber Bosch,Industry Chemical Ammonia Renewable,Industry Chemical HVC Steam Cracking,Industry Chemical HVC Methanol,Industry Chemical Other,Industry NMM Cement,Industry NMM Other,Industry Food and tobacco,Industry Construction,Industry Mining,Industry Machinery,Industry Non ferrous metals Aluminium Primary,Industry Non ferrous metals Aluminium Secondary,Industry Non ferrous metals Other,Industry Paper and pulp,Industry Transport equipment,Industry Textiles and leather,Industry Wood,Industry Miscellaneous,Unnamed: 25,Unnamed: 26
0,Coal,29.375901720451242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,
1,Oil,0.0,0.0,0.0,0.0,0.0,0.0,54.35962858108715,0.0,4.8082453918772865,7.687112115718471,8.44932810789807,0.0,0,6.377238858057012,0.0,0.0,0.0,7.38501872740359,0.0,0,0.0,0,53.04477359143118,,
2,Natural Gas,12.589672165907674,0.0,0.0,9.276834895556423,3.711043195423006,0.0,5.81857510209562,0.0,20.60676596518837,14.782907914843216,8.44932810789807,0.0,0,1.594309714514253,0.0,1.277723635860519,0.7650236055047224,9.846691636538122,0.0,0,1.3332045244961788,0,10.721935210891752,,
3,Biofuels,33.57245910908714,0.0,0.0,13.915252343334634,0.0,0.0,25.33904700007181,0.0,0.0,14.782907914843216,10.56166013487259,150.3407460716918,0,0.0,0.0,0.0,0.0,0.0,124.86618669205117,0,0.6666022622480894,0,24.425118883126846,,
4,Electricity,8.393114777271785,13.423331714491907,6.322086455607319,11.132201874667707,0.03157436220738759,0.6895638434032718,1.9395250340318733,11.7361618473066,36.40528653849945,10.643693698687112,12.673992161847107,90.20444764301507,0,22.320336003199536,0.0,16.062811422246526,1.3114690380080956,27.078402000479834,74.9197120152307,0,8.88803016330786,0,72.12938232781724,,
5,Heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,
6,Hydrogen,0.0,53.69332685796763,0.7024540506230355,2.783050468666927,0.0,2.528219011192409,0.0,0.0,6.868921988396123,11.235010015280842,2.1123320269745176,10.022716404779453,0,1.594309714514253,0.0,0.9126597399003709,0.10928908650067465,4.923345818269061,8.324412446136744,0,0.2222007540826965,0,14.677905055043434,,
7,process emission,12.029266423969721,0.6372092033368973,0.5461793171459121,0.0,0.0,0.0,0.0,-8.776510420727877,0.0,28.942853060944632,0.0,0.0,0,0.0,0.0,1.2653616165462398,0.0,0.0,0.0,0,0.0,0,0.0,,
